Crop,State,Season,year,Area,Production,Yield,avg_temperature_2m_mean,avg_temperature_2m_max,avg_temperature_2m_min,avg_relative_humidity_2m_mean,avg_wind_speed_10m_max,avg_wind_direction_10m_dominant,avg_precipitation_sum,avg_shortwave_radiation_sum,avg_surface_pressure_mean,avg_cloud_cover_mean
Rice,Himachal Pradesh,Kharif,2021,0.66,1.68,2532.0,20.92,27.13,16.09,54.89,1.73,261.16,3.27,16.99,90.97,55.6
Rice,Himachal Pradesh,Kharif,2022,0.67,1.31,1942.0,21.01,26.72,16.52,60.72,1.71,265.38,4.05,16.8,90.92,54.07
Rice,Himachal Pradesh,Kharif,2023,0.7,1.73,2474.0,20.11,25.81,15.72,63.61,1.65,253.6,4.52,16.08,91.06,57.56
Rice,Himachal Pradesh,Kharif,2024,0.7,1.58,2263.0,21.22,27.3,16.54,56.01,1.74,258.2,3.33,16.7,90.99,52.98
Rice,Himachal Pradesh,Total,2020,0.68,1.4,2052.0,20.0,26.2,15.17,58.13,1.7,247.87,3.26,17.23,91.01,57.29
Rice,Himachal Pradesh,Total,2021,0.66,1.68,2532.0,20.92,27.13,16.09,54.89,1.73,261.16,3.27,16.99,90.97,55.6
Rice,Himachal Pradesh,Total,2022,0.67,1.31,1942.0,21.01,26.72,16.52,60.72,1.71,265.38,4.05,16.8,90.92,54.07
Rice,Himachal Pradesh,Total,2023,0.7,1.73,2474.0,20.11,25.81,15.72,63.61,1.65,253.6,4.52,16.08,91.06,57.56
Rice,Himachal Pradesh,Total,2024,0.7,1.58,2263.0,21.22,27.3,16.54,56.01,1.74,258.2,3.33,16.7,90.99,52.98
Rice,Jammu And Kashmir,Kharif,2020,2.68,5.81,2173.0,-5.17,1.54,-11.48,69.74,1.63,224.01,1.42,18.92,59.15,53.29
Rice,Jammu And Kashmir,Kharif,2021,2.69,4.93,1834.0,-4.3,2.45,-10.62,67.12,1.66,230.93,1.35,18.17,59.2,55.76
Rice,Jammu And Kashmir,Kharif,2022,2.74,6.04,2202.0,-3.29,3.4,-9.36,66.34,1.64,240.41,1.39,18.69,59.2,52.65
Rice,Jammu And Kashmir,Kharif,2023,2.58,6.41,2482.0,-3.35,2.93,-9.18,65.93,1.63,230.3,1.52,17.98,59.25,54.7
Rice,Jammu And Kashmir,Rabi,2021,0.0,0.0,0.0,-4.3,2.45,-10.62,67.12,1.66,230.93,1.35,18.17,59.2,55.76
Rice,Jammu And Kashmir,Total,2020,2.68,5.81,2173.0,-5.17,1.54,-11.48,69.74,1.63,224.01,1.42,18.92,59.15,53.29
Rice,Jammu And Kashmir,Total,2021,2.69,4.93,1834.0,-4.3,2.45,-10.62,67.12,1.66,230.93,1.35,18.17,59.2,55.76
Rice,Jammu And Kashmir,Total,2022,2.74,6.04,2202.0,-3.29,3.4,-9.36,66.34,1.64,240.41,1.39,18.69,59.2,52.65
Rice,Jammu And Kashmir,Total,2023,2.58,6.41,2482.0,-3.35,2.93,-9.18,65.93,1.63,230.3,1.52,17.98,59.25,54.7
Rice,Jharkhand,Kharif,2020,14.11,27.53,1951.0,22.27,27.97,17.65,72.02,1.83,237.05,5.09,15.97,94.08,52.92
Rice,Jharkhand,Kharif,2021,14.45,29.3,2028.0,23.05,28.82,18.35,66.9,1.92,234.07,5.0,15.8,94.03,54.42
Rice,Jharkhand,Kharif,2022,8.55,14.94,1747.0,23.29,29.62,18.05,64.11,2.0,235.34,3.15,16.76,93.99,49.29
Rice,Jharkhand,Kharif,2023,11.0,15.16,1378.0,23.72,30.03,18.51,60.62,1.98,243.14,2.95,16.17,94.12,49.23
Rice,Jharkhand,Kharif,2024,14.66,27.77,1894.0,23.73,29.75,18.8,65.14,2.01,237.66,4.04,15.9,94.07,54.58
Rice,Jharkhand,Rabi,2020,0.0,0.0,0.0,22.27,27.97,17.65,72.02,1.83,237.05,5.09,15.97,94.08,52.92
Rice,Jharkhand,Total,2020,14.11,27.53,1951.0,22.27,27.97,17.65,72.02,1.83,237.05,5.09,15.97,94.08,52.92
Rice,Jharkhand,Total,2021,14.45,29.3,2028.0,23.05,28.82,18.35,66.9,1.92,234.07,5.0,15.8,94.03,54.42
Rice,Jharkhand,Total,2022,8.55,14.94,1747.0,23.29,29.62,18.05,64.11,2.0,235.34,3.15,16.76,93.99,49.29
Rice,Jharkhand,Total,2023,11.0,15.16,1378.0,23.72,30.03,18.51,60.62,1.98,243.14,2.95,16.17,94.12,49.23
Rice,Jharkhand,Total,2024,14.66,27.77,1894.0,23.73,29.75,18.8,65.14,2.01,237.66,4.04,15.9,94.07,54.58
Rice,Karnataka,Kharif,2020,10.38,31.45,3030.0,25.29,31.46,20.2,68.57,2.92,197.92,3.02,18.73,94.12,53.59
Rice,Karnataka,Kharif,2021,10.08,31.22,3097.0,25.12,31.24,20.17,68.46,2.92,184.98,2.59,18.1,94.11,57.42
Rice,Karnataka,Kharif,2022,9.46,31.63,3344.0,25.14,31.45,20.02,67.57,2.89,189.9,2.65,18.12,94.08,54.47
Rice,Karnataka,Kharif,2023,8.49,28.23,3325.0,26.31,33.38,20.41,58.1,3.15,182.85,1.49,19.21,94.21,47.28
Rice,Karnataka,Kharif,2024,8.86,30.21,3409.0,26.17,32.38,21.02,65.15,3.03,182.84,2.56,17.99,94.14,54.57
Rice,Karnataka,Rabi,2020,3.59,11.47,3193.0,25.29,31.46,20.2,68.57,2.92,197.92,3.02,18.73,94.12,53.59
Rice,Karnataka,Rabi,2021,3.9,11.97,3069.0,25.12,31.24,20.17,68.46,2.92,184.98,2.59,18.1,94.11,57.42
